Host_IP,Host_Name,Operating_System,System_Type,Original_Severity,Adjusted_Severity,EOL_Reclassified,Vulnerability_Name,Synopsis,Exploit_Available,EOL_Asset,Asset_Criticality_Tier,Vulnerability_Age,Vuln_Publication_Date,Plugin_Publication_Date,Port,Protocol,Service,Port_Classification,Scan_Date,CIS76_Implementation,External_VM_Risk_Level
192.0.2.10,192.0.2.10,FortiOS on Fortinet FortiGate,Firewall,Critical,Critical,No,SSL Version 2 and 3 Protocol Detection,The remote service encrypts traffic using a protocol with known weaknesses.,No,No,CRITICAL,>1 Year,,12/10/2005,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
192.0.2.11,192.0.2.11,FortiOS on Fortinet FortiGate,Firewall,High,High,No,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,No,No,CRITICAL,>1 Year,24/08/2016,23/11/2009,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
192.0.2.20,192.0.2.20,Microsoft Windows,General-Purpose,High,High,No,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,No,No,MEDIUM,>1 Year,24/08/2016,23/11/2009,"443, 3400, 4446",TCP,HTTPS / HTTPS Non-Standard,Insecure,13/01/2026,93.70%,Extremely High
192.0.2.30,192.0.2.30,Linux Kernel 2.6 (EOL),General-Purpose,Medium,Critical,Yes,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,Yes,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted + EOL,13/01/2026,93.70%,Extremely High
198.51.100.10,198.51.100.10,Linux Kernel 4.x on AlmaLinux release,Unknown,Medium,Medium,No,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,No,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted,13/01/2026,93.70%,Extremely High
198.51.100.11,198.51.100.11,Linux Kernel 4.x on AlmaLinux release,Unknown,Medium,Medium,No,JQuery 1.2 < 3.5.0 Multiple XSS,The remote web server is affected by multiple cross site scripting vulnerability.,Yes,No,LOW,>1 Year,29/04/2020,28/05/2020,8080,TCP,HTTP (Unencrypted),Insecure - Unencrypted,13/01/2026,93.70%,Extremely High
198.51.100.20,198.51.100.20,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,SSL Weak Cipher Suites Supported,The remote service supports the use of weak SSL ciphers.,No,No,CRITICAL,>1 Year,,8/10/2007,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
198.51.100.21,198.51.100.21,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,No,No,CRITICAL,>1 Year,,22/11/2017,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
198.51.100.22,198.51.100.22,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,SSL RC4 Cipher Suites Supported (Bar Mitzvah),The remote service supports the use of the RC4 cipher.,No,No,CRITICAL,>1 Year,12/03/2013,5/04/2013,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
198.51.100.23,198.51.100.23,FortiOS on Fortinet FortiGate,Firewall,Medium,Medium,No,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,No,No,CRITICAL,>1 Year,,15/12/2010,444,TCP,SSL/HTTPS (Non-Standard),Insecure,13/01/2026,93.70%,Extremely High
