Rank,Severity_Addressed,Recommendation,Description,Affected_Assets,Operating_System,Open_Insecure_Ports,CVE,EOL_Asset,Exploit_Available,Vulnerabilities_Addressed,Risk_Reduction_Estimate,Primary_Loss_Driver,Secondary_Loss_Driver,CIS_Control,Remediation_Complexity,Remediation_Timeline
1,Critical,Decommission or replace all EOL assets,"Migrate Linux Kernel 2.6 (179.61.230.146) to AlmaLinux 9 or RHEL 9. Migrate CentOS 7 hosts (200.31.177.194, 201.190.14.22) to AlmaLinux 9, Rocky Linux 9, or RHEL 9. Contact Dell for Wyse ThinOS firmware upgrade options. After migration, deploy jQuery v3.7.x updates on all migrated hosts.","192.168.1.10, 192.168.1.20, 192.168.1.30","Linux Kernel 2.6 (EOL ~2016), CentOS 7 (EOL June 30 2024)",8080/TCP,"CVE-2020-11022, CVE-2020-11023",Yes,Yes,5 Critical (EOL Reclassified) - jQuery XSS on EOL hosts,"$200,000",Data Breach / Ransomware,Business Interruption,CIS.7.6 - External Vulnerability Management,High,30-60 Days
2,Critical,Disable SSLv2 and SSLv3 on Fortinet FortiGate,Navigate to the SSL/TLS profile for the HTTPS administrative interface and any SSL-VPN configurations on FortiGate 190.143.139.250. Set minimum TLS version to TLS 1.2 (config vpn ssl settings / set algorithm high). Validate via rescan — SSL Version 2 and 3 Protocol Detection plugin must return no findings.,192.168.1.40,FortiOS on Fortinet FortiGate,444/TCP,"N/A (Protocol Weakness - POODLE, DROWN)",No,No,1 Critical - SSL Version 2 and 3 Protocol Detection,"$100,000",Data Breach,Business Interruption,CIS.7.6 - External Vulnerability Management,Low,Immediate (1-7 Days)
3,Critical,Upgrade jQuery to v3.7.x across all affected web servers,Replace legacy jQuery 1.x/2.x includes with jQuery v3.7.1 on all affected web servers. For Cisco appliance and Wyse ThinOS web UIs apply the latest vendor firmware which bundles updated jQuery. Confirm remediation via Nessus plugin 145023 rescan. On EOL hosts this must accompany not replace the OS migration in Recommendation 1.,"192.168.1.10, 192.168.1.20, 192.168.1.30, 192.168.1.70","Linux Kernel 2.6 (EOL), Linux Kernel 4.x AlmaLinux, CentOS 7 (EOL)",8080/TCP,"CVE-2020-11022, CVE-2020-11023",Yes (3 of 4 hosts),Yes,9 - jQuery XSS instances (5 Critical EOL Reclassified + 4 Medium),"$120,000",Data Breach,Misappropriation of Funds / Services,CIS.7.6 - External Vulnerability Management,Medium,7-30 Days
4,Critical / High / Medium,Implement SLA-driven vulnerability remediation program,"Establish and enforce patching cadence using Tenable.io SLA tracking: Critical <= 30 days, High <= 60 days, Medium <= 90 days. Assign each finding to an ITSM ticket at scan completion. Generate weekly aging reports distributed to regional IT leads and the CISO. 100% of current findings exceed the 90-day SLA threshold.",All 19 IPs,All scanned hosts,All exposed ports,N/A (Process Control),N/A,N/A,30 - All C/H/M findings (100% aged beyond SLA),"$150,000",Business Interruption,Data Breach / Ransomware,CIS.7.6 - External Vulnerability Management,Medium,30-60 Days (Program Establishment)
5,High,Remediate SWEET32 on FortiGate with comprehensive cipher hardening,"Disable all 3DES/TDEA cipher suites on FortiGate 190.143.139.250. Configure SSL/TLS profiles to permit only ECDHE and DHE cipher suites with AES-128-GCM or AES-256-GCM (AEAD ciphers). Coordinate all FortiGate cipher changes (SSLv2/v3, RC4, 3DES, TLS 1.0) in a single maintenance window to minimize operational impact.",192.168.1.70,FortiOS on Fortinet FortiGate,444/TCP,"CVE-2016-2183, CVE-2016-6329",No,No,1 High - SSL Medium Strength Cipher Suites (SWEET32) on FortiGate,"$90,000",Data Breach,Business Interruption,CIS.7.6 - External Vulnerability Management,Low,Immediate (1-7 Days)
6,High,Enforce TLS 1.2 minimum on F5 BIG-IP and Microsoft Windows,"On F5 BIG-IP 200.114.112.164: update the Client SSL profile under LTM > Profiles > SSL > Client SSL and set Minimum Version to TLSv1.2. On Windows 45.191.246.102: apply SCHANNEL registry keys to disable TLS 1.0 and TLS 1.1 or deploy via Group Policy Object targeting SSL Cipher Suite Order. Also eliminates SWEET32 findings on ports 443, 3400 and 4446.","203.0.113.20, 198.51.100.20  ","F5 Networks BIG-IP, Microsoft Windows","443/TCP, 3400/TCP, 4446/TCP","CVE-2016-2183, CVE-2016-6329 (SWEET32) / N/A TLS deprecation",No,No,5 - SWEET32 (High x3) + TLS 1.0/1.1 Deprecated (Medium x2),"$80,000",Data Breach,Business Interruption,CIS.7.6 - External Vulnerability Management,Low,7-14 Days
7,Medium,Replace self-signed and untrusted SSL certificates with CA-issued certificates,On FortiGate: replace default self-signed cert under System > Certificates > Local Certificates. On F5 BIG-IP: update SSL profile to reference CA-issued cert under LTM > Profiles > SSL. On Windows: replace certificate in IIS or the applicable application service. Ensure all CSRs specify SHA-256 as the signature algorithm — this simultaneously resolves MD5/SHA-1 findings (Recommendation 9).,"203.0.113.20, 198.51.100.20, 192.0.2.20  ","FortiOS on Fortinet FortiGate, F5 Networks BIG-IP, Microsoft Windows","444/TCP, 443/TCP",N/A,No,No,6 - SSL Certificate Cannot Be Trusted (x4) + SSL Self-Signed Certificate (x2),"$65,000",Data Breach,Misappropriation of Funds / Services,CIS.7.6 - External Vulnerability Management,Medium,7-30 Days
8,Medium,Disable RC4 cipher suites (Bar Mitzvah) on FortiGate and Microsoft Windows,FortiGate 190.143.139.250: remove RC4 variants from SSL/TLS cipher list in the profile configuration. Windows 45.191.246.102: set Enabled=0 under HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Ciphers\RC4 128/128 or apply CIS Benchmark Level 1 hardening GPO which includes RC4 disablement.,"203.0.113.20, 198.51.100.20","FortiOS on Fortinet FortiGate, Microsoft Windows","444/TCP, 443/TCP","CVE-2013-2566, CVE-2015-2808",No,No,2 - SSL RC4 Cipher Suites Supported (Bar Mitzvah),"$45,000",Data Breach,Business Interruption,CIS.7.6 - External Vulnerability Management,Low,Immediate (1-7 Days)
9,Medium,Replace MD5/SHA-1 signed certificates with SHA-256 or stronger,Replace any certificates signed with MD5 or SHA-1 with new certificates using SHA-256 or stronger signing algorithms. This action is best coordinated with Recommendation 7 — when obtaining new CA-issued certificates ensure the Certificate Signing Request (CSR) specifies SHA-256 as the signature algorithm. Verify using: openssl s_client -connect host:port | openssl x509 -noout -text confirming sha256WithRSAEncryption.,"203.0.113.20, 198.51.100.20","FortiOS on Fortinet FortiGate, Microsoft Windows","444/TCP, 443/TCP",CVE-2004-2761,No,Yes,2 - SSL Certificate Signed Using Weak Hashing Algorithm,"$45,000",Data Breach,Misappropriation of Funds / Services,CIS.7.6 - External Vulnerability Management,Medium,7-30 Days
10,Preventive,Assess and harden QNAP QTS firmware on primary public web presence,Perform an authenticated scan or manual firmware version check against QNAP security advisories for 160.153.0.103 (www.sisap.com). Ensure latest stable QTS release is applied. Disable QNAP administrative interface from external internet access. Confirm no default credentials remain in use. Enable QNAP Security Counselor for continuous monitoring. QNAP has a significant history of actively exploited critical CVEs including ransomware-specific vulnerabilities.,203.0.113.20,QNAP QTS,"80/TCP, 443/TCP","CVE-2022-27596, CVE-2021-28799 (Historical)",No,Unknown - Unauthenticated Scan,0 active C/H/M findings - Preventive hardening for primary public web asset,"$40,000",Ransomware,Business Interruption,CIS.7.6 - External Vulnerability Management,Medium,7-30 Days
